library_entry_id,practice_identity,opdb_id,Venue,PM_location_id,Venue Location,Area,AreaOrder,Group,Position,Bank,Game,Variant,Manufacturer,Year,Playfield Image,Rulesheet,Tutorial 1,Tutorial 2,Tutorial 3,Tutorial 4,Gameplay 1,Gameplay 2,Gameplay 3,Gameplay 4,Competition 1,Competition 2,Competition 3,Competition 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v--16470--GrPbb,GrPbb,GrPbb-MJZX6,RLM Amusements,16470,"Grand Rapids, MI",,,5,1,,Excalibur,,Gottlieb,1988,https://o.pinside.com/8/94/d7/894d7e9f11718560a3ff8dc1ff1175ce868fcdfb.jpeg,https://rules.silverballmania.com/rules/GrPbb-MJZX6,,,,,,,,,,,,
v--16470--GweeP,GweeP,GweeP-Ml9pZ,RLM Amusements,16470,"Grand Rapids, MI",,,5,2,,Godzilla,Premium,Stern,2021,https://sternpinball.com/wp-content/uploads/2021/09/Godzilla-LE-Playfield-afasdf.jpg,https://tiltforums.com/t/stern-godzilla-rulesheet/7210,https://www.youtube.com/watch?v=roJbHZe4YfQ,,,,https://www.youtube.com/watch?v=qxv1rdFisR8,https://www.youtube.com/watch?v=9rLcMSuommU,,,,,,
v--16470--G5728,G5728,G5728-MDbjD,RLM Amusements,16470,"Grand Rapids, MI",,,5,3,,Flash Gordon,,Bally,1980,https://o.pinside.com/4/05/70/40570b35e1413f4a6785ea7a8c95250491894cd9.jpeg,https://rules.silverballmania.com/rules/G5728-MDbjD,https://www.youtube.com/watch?v=znjcb3Qu8mA,,,,,,,,,,,
v--16470--Gr2wz,Gr2wz,Gr2wz-MLBob,RLM Amusements,16470,"Grand Rapids, MI",,,5,4,,Genesis,,Gottlieb,1986,https://o.pinside.com/3/8f/66/38f663cba178595c6aa1c815df14ca14e1ffd698.jpeg,https://pinballprimer.github.io/genesis_Gr2wz.html,https://www.youtube.com/watch?v=Tfhq5LF_QiY,,,,https://www.youtube.com/watch?v=is0L6-_a5YQ,,,,,,,
v--16470--GD7Ld,GD7Ld,GD7Ld-ME0BP,RLM Amusements,16470,"Grand Rapids, MI",,,5,5,,Black Knight: Sword of Rage,Pro,Stern,2019,https://sternpinball.com/wp-content/uploads/2019/03/BlackKnight-LE-Playfield-01a.jpg,https://tiltforums.com/t/black-knight-sword-of-rage-rulesheet/5210,https://www.youtube.com/watch?v=i8CZsGEcmBA,,,,https://www.youtube.com/watch?v=musEx6lbttQ,,,,,,,
v--16470--GK17D,GK17D,GK17D-MKNKd,RLM Amusements,16470,"Grand Rapids, MI",,,5,6,,Jurassic Park,Premium,Stern,2019,https://sternpinball.com/wp-content/uploads/2019/07/JurassicPark-LE-Playfield.jpg,https://tiltforums.com/t/stern-jurassic-park-rulesheet/5644,https://www.youtube.com/watch?v=vVs_0jqCPGA,,,,https://www.youtube.com/watch?v=ZU6byRKtsZk,,,,,,,
v--16470--GryK3,GryK3,GryK3-MQrWk,RLM Amusements,16470,"Grand Rapids, MI",,,5,7,,Robo-War,,Gottlieb,1988,https://cdn.prod.website-files.com/630f7e3a17d08a21ae05d20a/683ce9ed6e7c64e06127da82_RPWy96zmATcYkDm-6nYntR0TP72VW4NPkhHSov4XHo0.webp,https://pinballprimer.github.io/robowar_GryK3.html,,,,,https://www.youtube.com/watch?v=DVlWLOV-FPw,,,,,,,
v--16470--GvBn8,GvBn8,GvBn8-Mz291,RLM Amusements,16470,"Grand Rapids, MI",,,5,8,,Labyrinth,,BoF,2023,https://o.pinside.com/2/91/f2/291f2be351242ef4f1bd9247a1de9f6f72599e89.jpeg,https://tiltforums.com/t/labyrinth-rulesheet/8773,,,,,https://www.youtube.com/watch?v=mpVrVnvDV50,,,,,,,
v--16470--G4dOQ,G4dOQ,G4dOQ-MyNbb,RLM Amusements,16470,"Grand Rapids, MI",,,5,9,,Iron Maiden,Pro,Stern,2018,https://sternpinball.com/wp-content/uploads/2018/10/IM-LE-Playfield-01b.png,https://tiltforums.com/t/iron-maiden-pinball-rulesheet/3787,https://www.youtube.com/watch?v=zaCEffQkj4o,,,,,,,,,,,
