library_entry_id,practice_identity,Venue,PM_location_id,Venue Location,Area,AreaOrder,Group,Position,Bank,Game,Variant,Manufacturer,Year,pinside_id,pinside_slug,pinside_group,Playfield Image,Rulesheet,Tutorial 1,Tutorial 2,Tutorial 3,Tutorial 4,Gameplay 1,Gameplay 2,Gameplay 3,Gameplay 4,Competition 1,Competition 2,Competition 3,Competition 4
v--8760--2895,stern--teenage-mutant-ninja-turtles--2020,The Avenue Cafe,8760,"Lansing, MI",U,1,4,10,2,Teenage Mutant Ninja Turtles,LE,Stern,2020,2895,teenage-mutant-ninja-turtles-stern-limited,Teenage Mutant Ninja Turtles,https://sternpinball.com/wp-content/uploads/2020/05/TMNT-LE-Playfield_New_Decal-4tnasdfad.jpg,https://tiltforums.com/t/stern-tmnt-rulesheet/6599,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v--8760--830,bally--scared-stiff--1996,The Avenue Cafe,8760,"Lansing, MI",D,2,5,1,4,Scared Stiff,,Bally,1996,830,scared-stiff,~,https://o.pinside.com/5/e3/0c/5e30c4ed45066488681a5b99ee9e807c6a73abcb.jpeg,https://www.ipdb.org/rulesheets/3915/SCARED.HTM,,,,,https://www.youtube.com/watch?v=0CTIo1mvTJs,,,,,,,
v--8760--3274,stern--dungeons-and-dragons--2025,The Avenue Cafe,8760,"Lansing, MI",D,2,5,2,6,Dungeons & Dragons: The Tyrant's Eye,LE,Stern,2025,3274,dungeons-and-dragons-the-tyrants-eye-le,Dungeons and Dragons,https://sternpinball.com/wp-content/uploads/2025/01/DungeonLETopPlayfield-adfkjehfa3.jpg,https://tiltforums.com/t/dungeons-dragons-the-tyrants-eye-rulesheet/9267,,,,,https://www.youtube.com/watch?v=eLmtVP2-xyc,,,,,,,
v--8760--3336,stern--star-wars-fall-of-the-empire--2025,The Avenue Cafe,8760,"Lansing, MI",D,2,5,3,8,Star Wars: Fall of the Empire,LE,Stern,2025,3336,star-wars-fall-of-the-empire-le,Star Wars: Fall of the Empire,https://sternpinball.com/wp-content/uploads/2025/09/EmpireLETopx.jpg,https://tiltforums.com/t/star-wars-fall-of-the-empire-rulesheet/9872,,,,,,,,,,,,
v--8760--3224,stern--john-wick--2024,The Avenue Cafe,8760,"Lansing, MI",D,2,5,4,1,John Wick,LE,Stern,2024,3224,john-wick-limited,John Wick,https://sternpinball.com/wp-content/uploads/2024/05/JohnWick-LE-Playfield-akldhjf3rkljhaesf5yshbt.jpg,https://tiltforums.com/t/john-wick-rulesheet/8956,,,,,,,,,,,,
v--8760--2843,stern--elviras-house-of-horrors--2019,The Avenue Cafe,8760,"Lansing, MI",D,2,5,5,3,Elvira's House of Horrors,LE,Stern,2019,2843,elviras-house-of-horrors-le,Elvira's House of Horrors,https://sternpinball.com/wp-content/uploads/2023/10/ElviraPlayFieldA9145.jpg,https://tiltforums.com/t/elvira-s-house-of-horrors-rulesheet/5815,,,,,https://www.youtube.com/watch?v=o8vUqabRAp8,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v--8760--3059,stern--james-bond-007--2022,The Avenue Cafe,8760,"Lansing, MI",D,2,6,1,5,James Bond 007,LE,Stern,2022,3059,james-bond-007-le,James Bond 007,https://sternpinball.com/wp-content/uploads/2022/09/JamesBond-LE-Playfield-knadf.jpg,https://tiltforums.com/t/james-bond-007-rulesheet/7893,https://www.youtube.com/watch?v=GnQr9qIZz_0,,,,https://www.youtube.com/watch?v=FbSbZDtegVk,,,,,,,
v--8760--3289,stern--king-kong-myth-of-terror-island--2025,The Avenue Cafe,8760,"Lansing, MI",D,2,6,2,7,King Kong,LE,Stern,2025,3289,king-kong-myth-of-terror-island-le,King Kong: Myth of Terror Island,https://sternpinball.com/wp-content/uploads/2025/04/LETopPlayfield.jpg,https://tiltforums.com/t/king-kong-myth-of-terror-island-rulesheet/9514,https://www.youtube.com/watch?v=OCp5Ria5IIA,,,,https://www.youtube.com/watch?v=Esw-G7rUTw8,,,,,,,
v--8760--3104,stern--ghostbusters--2016,The Avenue Cafe,8760,"Lansing, MI",D,2,6,3,2,Ghostbusters,LE,Stern,2016,3104,ghostbuster-le,Ghostbusters,https://sternpinball.com/wp-content/uploads/2018/10/Stern-GhostbustersLE-Playfield-01x.png,https://tiltforums.com/t/ghostbusters-pinball-rulesheet/1358,,,,,,,,,,,,
