library_entry_id,practice_identity,opdb_id,Venue,PM_location_id,Venue Location,Area,AreaOrder,Group,Position,Bank,Game,Variant,Manufacturer,Year,Playfield Image,Rulesheet,Tutorial 1,Tutorial 2,Tutorial 3,Tutorial 4,Gameplay 1,Gameplay 2,Gameplay 3,Gameplay 4,Competition 1,Competition 2,Competition 3,Competition 4
v--14554--G4JbV,G4JbV,G4JbV-M5Rqn,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,36,,Torch,,Gottlieb,1980,,,,,,,,,,,,,,
v--14554--G5b38,G5b38,G5b38-MDqkx,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,37,,Meteor,,Stern Electronics,1979,,,,,,,,,,,,,,
v--14554--Gryd3,Gryd3,Gryd3-MLqjd,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,38,,Comet,,Williams,1985,,,,,,,,,,,,,,
v--14554--G42qQ,G42qQ,G42qQ-MLn3y,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,39,,Star Trek,,Data East,1991,https://sternpinball.com/wp-content/uploads/2018/10/PREM-PF.jpg,https://tiltforums.com/t/star-trek-wiki/456,https://www.youtube.com/watch?v=wYZuLK6ShUk,,,,https://www.youtube.com/watch?v=kkJn4ypmq3M,,,,,,,
v--14554--GRop9,GRop9,GRop9-MyNYp,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,40,,Smarty,,Williams,1968,,,,,,,,,,,,,,
v--14554--Grlxp,Grlxp,Grlxp-MVKBW,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,41,,Elvira and the Party Monsters,,Bally,1989,,,,,,,,,,,,,,
v--14554--GQKb2,GQKb2,GQKb2-MYek0,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,42,,Rick and Morty,SE,Spooky,2019,,,,,,,,,,,,,,
v--14554--G5VDd,G5VDd,G5VDd-MJpqO,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,43,,Firepower,,Williams,1980,,,,,,,,,,,,,,
v--14554--G42E2,G42E2,G42E2-MQP9e,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,44,,World Cup Soccer,,Bally,1994,,,,,,,,,,,,,,
v--14554--Gzy89,Gzy89,Gzy89-MNEeO,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,45,,Stranger Things,Pro,Stern,2019,https://sternpinball.com/wp-content/uploads/2019/12/StrangerThings-LE-Playfield-09j4gnjrf.jpg,https://tiltforums.com/t/stranger-things-rulesheet/6093,https://www.youtube.com/watch?v=3PpBgoYxgk4,,,,https://www.youtube.com/watch?v=6cX3kmMY72Y,,,,,,,
v--14554--G4j1L,G4j1L,G4j1L-MZerb,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,46,,Black Sheep Squadron,,Astro Games,1979,,,,,,,,,,,,,,
